customer_purchases: {group: (coustomer_name: chararray,coustomer_id: int),total_purchases_per_coustomer: long,min_purchase: int,max_purchase: int}
((MVPVCG  DPNYHL,9051),230,230,230)
((NLHCSE  KDDRZH,8691),661,661,661)
((NOISUE  NJAGLH,8555),352,352,352)
((NVYMKN  QNRYEM,8093),251,251,251)
((NXXHAQ  HSYHYB,9167),201,201,201)
((NZYAAU  PLOOXK,9310),412,412,412)
((OCVGGX  RJYJJW,9235),822,822,822)
((OEWMWF  ASSAKJ,9386),878,878,878)
((ONLGAI  OINMZK,9670),719,719,719)
((OTUMJB  XQFAFR,9141),382,382,382)
((PACCQE  NGZOWQ,8082),433,433,433)
((PGDUYX  RYLEUK,9936),773,773,773)
((PKUUWC  CABGGI,8306),808,808,808)
((PQMYPQ  FBNQQO,9969),356,356,356)
((PWCVBL  CNOLME,8620),440,440,440)
((QDEIZY  LFPYSP,9722),466,466,466)
((QELJWN  HRKUYV,8978),879,879,879)
((QKRJTR  LVDQEP,9211),519,519,519)
((QMYMPK  JFNKRV,9375),849,849,849)
((QSODTA  LKZCAH,8761),3715,276,713)
((RDUEMU  BROKKU,8679),672,672,672)
((RFTYKU  AQYNXE,8121),365,365,365)
((RKCJTR  DDLPYS,8020),968,968,968)
((RKPTUJ  ZRKOWS,9248),315,315,315)
((RLAWAV  QLHRBB,8476),367,367,367)
((RUWMUA  GFWQBO,8487),900,900,900)
((SGTMYU  OZBKZD,9797),451,451,451)
((SOAXQP  QTADVV,9036),421,421,421)
((SSTGSW  JKSTRF,9378),370,370,370)
((SSYYCV  MOKCSZ,9319),524,524,524)
((STAPMX  GTEXDA,8005),648,648,648)
((STHPMW  YZTYCG,8850),1945,322,994)
((SUCQFY  BPSSRH,9023),367,367,367)
((TEARQA  UZFWWU,9230),865,865,865)
((THIDKS  NXBFKS,9276),413,413,413)
((TKYTWT  ENVIHU,9729),999,999,999)
((TOQTWS  FLIACX,9941),724,724,724)
((TOVXVU  ZPGHBX,8055),349,349,349)
((TRCKUV  RYMVPO,9248),770,770,770)
((TSZUGT  HAMYLM,9714),878,878,878)
((UBSLWW  NXDTAB,8723),546,546,546)
((ULUITI  NYSYLA,9158),446,446,446)
((UYQAHQ  VSLFMN,8692),284,284,284)
((UZISYA  TBOXJA,9846),338,338,338)
((VADSTN  KUKXTL,9990),687,687,687)
((VAELCO  JUKYZM,9845),4624,261,982)
((VEEJAT  UESVRE,8466),478,478,478)
((VJZUWG  AMXFQZ,8710),4513,221,997)
((VNTTWN  RVXWMP,9347),660,660,660)
((VUGJUG  SURXYS,8937),583,583,583)
((WDEOLZ  KSNXRJ,8111),1821,332,775)
((WLETHL  WRVXKJ,8043),315,315,315)
((WOWIKJ  SPORRB,9941),236,236,236)
((WUSBHS  ZSXWNT,8231),359,359,359)
((XCAVIZ  UFMFEI,8763),263,263,263)
((XCZEZK  ROPPJZ,8482),588,588,588)
((XJKQBM  QTCSCP,8390),758,758,758)
((XMKTXO  UWAPLE,9907),692,692,692)
((XQKBDO  FVKPLS,9361),341,341,341)
((XWKFFB  LISWRD,8911),846,846,846)
((YBFAOG  XVTFSH,8544),772,772,772)
((YGFQTE  WSPNGV,9320),696,696,696)
((YLUHLV  ZCZQAQ,9871),927,927,927)
((YMDWWC  YCVXAZ,9112),603,603,603)
((YXBTMH  UHDOVY,9405),828,828,828)
((YZACZW  TEVJKK,9105),540,540,540)
((YZLOVO  DYOQVF,9698),640,640,640)
((ZOJJQA  CVORXS,9184),708,708,708)
((ZRHNRZ  AJIQLZ,9811),800,800,800)
((ZRKKWS  CTGQLE,8013),697,697,697)
((ZUCIUF  VWYOUF,8804),479,479,479)
((ZYDRMY  VLEQKE,8341),253,253,253)
total_customers_purchases: {total_purchases: long,min_purchase: int,max_purchase: int}
********************************************** total customers purchases ***********************************
(115483,201,999)
